N_loc,sigma_bar,succ,rmse,t_mean_ms,slack_max,Kopt_mean,seed
100,0.5,1,0.03479,222.0,0.0029,100.0,1
100,0.55,1,0.03479,221.0,0.0029,100.0,1
100,0.6,1,0.03479,222.0,0.0029,100.0,1
100,0.65,1,0.03479,222.0,0.0029,100.0,1
100,0.7,1,0.03479,222.0,0.0029,100.0,1
100,0.8,1,0.03479,222.0,0.0029,100.0,1
100,1.0,1,0.03479,222.0,0.0029,100.0,1
100,2.0,1,0.03479,222.0,0.0029,100.0,1
100,5.0,1,0.03479,222.0,0.0029,100.0,1
200,0.2,1,0.03391,186.0,0.00875,71.6,1
200,0.3,1,0.03443,255.0,0.00989,109.0,1
200,0.4,1,0.0341,288.0,0.0113,149.0,1
200,0.45,1,0.03437,259.0,0.00394,175.0,1
200,0.5,1,0.03507,249.0,0.00262,193.0,1
200,0.55,1,0.03447,214.0,0.000496,180.0,1
200,0.6,1,0.0343,216.0,0.000765,181.0,1
200,0.65,1,0.0347,211.0,0.0619,182.0,1
200,0.7,1,0.03462,214.0,0.012,182.0,1
200,0.8,1,0.03507,218.0,0.0131,181.0,1
200,1.0,1,0.03474,218.0,0.0145,180.0,1
200,2.0,1,0.03476,215.0,0.0145,180.0,1
200,5.0,1,0.03473,214.0,0.0145,180.0,1
500,0.2,1,0.03648,180.0,0.00583,68.6,1
500,0.3,1,0.03524,283.0,0.00929,106.0,1
500,0.4,1,0.04188,331.0,0.0055,151.0,1
500,0.45,1,0.03542,279.0,0.00314,174.0,1
500,0.5,1,0.03783,280.0,0.0008,197.0,1
500,0.55,1,0.0375,295.0,0.00166,222.0,1
500,0.6,1,0.0435,297.0,0.00269,254.0,1
500,0.65,1,0.03987,263.0,0.00637,285.0,1
500,0.7,1,0.04294,314.0,0.0113,315.0,1
500,0.8,1,0.04865,253.0,0.00646,375.0,1
500,1.0,1,0.03459,207.0,0.00252,227.0,1
500,2.0,1,0.03476,214.0,0.0145,180.0,1
500,5.0,1,0.03476,214.0,0.0145,180.0,1
1000,0.2,1,0.04016,176.0,0.00468,67.9,1
1000,0.3,1,0.0416,223.0,0.00471,103.0,1
1000,0.4,1,0.04278,327.0,0.00226,152.0,1
1000,0.45,1,0.04238,294.0,0.000488,175.0,1
1000,0.5,1,0.04596,298.0,0.000945,196.0,1
1000,0.55,1,0.04169,323.0,0.00652,227.0,1
1000,0.6,1,0.05161,306.0,0.00604,254.0,1
1000,0.65,1,0.05129,248.0,0.00836,280.0,1
1000,0.7,1,0.04482,275.0,0.00683,310.0,1
1000,0.8,1,0.05024,306.0,0.00557,377.0,1
1000,1.0,1,0.05834,69.8,0.000504,556.0,1
1000,2.0,1,0.03446,216.0,0.0231,198.0,1
1000,5.0,1,0.03476,215.0,0.0145,180.0,1
2000,0.2,1,0.03927,157.0,0.00724,65.1,1
2000,0.3,1,0.04236,178.0,0.00759,100.0,1
2000,0.4,1,0.04338,213.0,0.00335,146.0,1
2000,0.45,1,0.04291,236.0,0.00234,170.0,1
2000,0.5,1,0.0512,249.0,0.00693,195.0,1
2000,0.55,1,0.05323,318.0,0.041,224.0,1
